StnID,LnID,StnAbbr,StnName,CordX,CordY
1,ISL,CEN,Central,4165,5442
1,TWL,CEN,Central,4074,5397
2,SIL,ADM,Admiralty,4664,5487
2,ISL,ADM,Admiralty,4664,5442
2,TWL,ADM,Admiralty,4664,5397
3,TWL,TST,Tsim Sha Tsui,4983,4675
4,TWL,JOR,Jordon,4983,4360
5,TWL,YMT,Yau Ma Tei,4983,4044
5,KTL,YMT,Yau Ma Tei,5028,4044
6,TWL,MOK,Mong Kok,4983,3683
6,KTL,MOK,Mong Kok,5028,3683
7,KTL,SKM,Shek Kip Mei,5255,3097
8,KTL,KOT,Kowloon Tong,5892,3097
8,EAL,KOT,Kowloon Tong,5892,3097
9,KTL,LOF,Lok Fu,6301,3097
10,KTL,WTS,Wong Tai Sin,6755,3097
11,KTL,DIH,Diamond Hill,7210,3097
12,KTL,CHH,Choi Hung,7619,3097
13,KTL,KOB,Kowloon Bay,7937,3142
14,KTL,NTK,Ngau Tau Kok,8028,3413
15,KTL,KWT,Kwun Tong,8028,3728
16,KTL,PRE,Prince Edward,5028,3413
16,TWL,PRE,Prince Edward,4983,3413
17,TWL,SSP,Sham Shui Po,4664,3052
18,TWL,CSW,Cheung Sha Wan,4210,3052
19,TWL,LCK,Lai Chi Kok,3846,3052
20,TWL,MEF,Mei Foo,3437,3052
20,WRL,MEF,Mei Foo,3437,3052
21,TWL,LAK,Lai King,3028,3052
21,TCL,LAK,Lai King,3028,3052
22,TWL,KWF,Kwai Fong,2574,3052
23,TWL,KWH,Kwai Hing,2119,3052
24,TWL,TWH,Tai Wo Hau,1665,3052
25,TWL,TSW,Tsuen Wan,1165,3052
26,ISL,SHW,Sheung Wan,3619,5442
27,ISL,WAC,Wanchai,5164,5442
28,ISL,CAB,Causeway Bay,5664,5442
29,ISL,TIH,Tin Hau,6164,5442
30,ISL,FOH,Fortress Hill,6664,5442
31,TKL,NOP,North Point,7210,5397
31,ISL,NOP,North Point,7210,5442
32,TKL,QUB,Quarry Bay,7710,5397
32,ISL,QUB,Quarry Bay,7710,5442
33,ISL,TAK,Taikoo,8210,5442
34,ISL,SWH,Sai Wan Ho,8710,5442
35,ISL,SKW,Shau Kei Wan,9164,5803
36,ISL,HFC,Heng Fa Chuen,9391,6254
37,ISL,CHW,Chai Wan,9391,6660
38,KTL,LAT,Lam Tin,8028,4089
39,TCL,HOK,Hong Kong,4165,5217
40,TCL,KOW,Kowloon,3437,4585
41,TCL,OLY,Olympic,3437,4134
42,TCL,TSY,Tsing Yi,2437,3413
43,TCL,TUC,Tung Chung,1392,4585
44,AEL,HOK,Hong Kong,4165,5262
45,AEL,KOW,Kowloon,3346,4585
46,AEL,TSY,Tsing Yi,2392,3413
47,AEL,AIR,Airport,1119,4270
48,KTL,YAT,Yau Tong,8300,4360
48,TKL,YAT,Yau Tong,8300,4360
49,KTL,TIK,Tiu King Leng,8755,4360
49,TKL,TIK,Tiu King Leng,8755,4360
50,TKL,TKO,Tseung Kwan O,9164,4360
51,TKL,HAH,Hang Hau,9391,3819
52,TKL,POA,Po Lam,9391,3413
53,TCL,NAC,Nam Cheong,3437,3593
53,WRL,NAC,Nam Cheong,3437,3593
54,DRL,SUN,Sunny Bay,2028,3999
54,TCL,SUN,Sunny Bay,1983,3954
55,DRL,DIS,Disneyland Resort Station,2301,4315
56,AEL,AWE,AsiaWorld-Expo,1392,3864
57,TKL,LHP,Lohas Park,9391,4766
64,EAL,HUH,Hung Hom,5892,4675
64,WRL,HUH,Hung Hom,5892,4675
65,EAL,MKK,Mong Kok East,5892,3683
67,EAL,TAW,Tai Wai,5892,3503
67,MOL,TAW,Tai Wai,5892,2556
68,EAL,SHT,Shatin,5892,2195
69,EAL,FOT,Fo Tan,5892,1789
71,EAL,UNI,University,5664,1293
72,EAL,TAP,Tai Po Market,5119,1293
73,EAL,TWO,Tai Wo,4664,1293
74,EAL,FAN,Fanling,4210,1293
75,EAL,SHS,Sheung Shui,3755,1293
76,EAL,LOW,Lo Wu,3256,1293
78,EAL,LMC,Lok Ma Chau,2937,1473
80,WRL,ETS,East Tsim Sha Tsui,5119,4856
81,ISL,SYP,Sai Ying Pun,3119,5442
82,ISL,HKU,HKU,2619,5442
83,ISL,KET,Kennedy Town,2074,5442
84,KTL,HOM,Ho Man Tin,6073,4405
85,KTL,WHA,Whampoa,6301,4630
86,SIL,OCP,Ocean Park,4983,5983
87,SIL,WCH,Wong Chuk Hang,4346,6254
88,SIL,LET,Lei Tung,3574,6570
89,SIL,SOH,South Horizons,2937,6570
96,MOL,CKT,Che Kung Temple,6664,2195
97,MOL,STW,Sha Tin Wai,6664,1789
98,MOL,CIO,City One,6937,1293
99,MOL,SHM,Shek Mun,7437,1293
100,MOL,TSH,Tai Shui Hang,7891,1293
101,MOL,HEO,Heng On,8391,1293
102,MOL,MOS,Ma On Shan,8891,1293
103,MOL,WKS,Wu Kai Sa,9391,1293
111,WRL,AUS,Austin,4074,4585
114,WRL,TWW,Tsuen Wan West,1165,2691
115,WRL,KSR,Kam Sheung Road,983,2240
116,WRL,YUL,Yuen Long,983,1879
117,WRL,LOP,Long Ping,983,1518
118,WRL,TIS,Tin Shui Wai,756,1248
119,WRL,SIH,Siu Hong,574,1879
120,WRL,TUM,Tuen Mun,574,2420
